@relation trainWeeklyAllRegression


@attribute AvgTemp numeric
@attribute Season numeric
@attribute LebanonEvents numeric
@attribute AvgPreci numeric
@attribute AvgWind numeric
@attribute SyriaEvents numeric
@attribute trend numeric
@attribute lag1 numeric
@attribute lag2 numeric
@attribute lag3 numeric
@attribute lag4 numeric
@attribute class numeric


@data
16,2.3,10,2,1,2,14.8,20,13,8,5,13
17,0,9,2,1,3,15,13,20,13,8,20
13,5.8,23,2,4,2,14.6,20,13,20,13,9
12,4.1,16,2,2,0,11.6,9,20,13,20,11
16,0.6,9,2,4,2,12.6,11,9,20,13,5
17,0.5,10,3,7,3,13.4,5,11,9,20,18
18,0.9,9,3,3,0,14.4,18,5,11,9,24
16,0.9,14,3,2,1,19.8,24,18,5,11,14
18,0.1,12,3,3,0,27.2,14,24,18,5,38
18,0.2,12,3,0,5,28.8,38,14,24,18,42
18,2.5,13,3,1,4,31.2,42,38,14,24,26
17,1.5,11,3,2,2,34.8,26,42,38,14,36
18,0.2,20,3,3,0,39.8,36,26,42,38,32
22,0,10,3,0,4,40,32,36,26,42,63
21,0,9,3,1,3,48,63,32,36,26,43
22,0.5,9,3,3,0,53,43,63,32,36,66
26,0.3,13,3,3,1,58.2,66,43,63,32,61
25,0.5,11,3,3,0,60.6,61,66,43,63,58
23,0,10,4,1,0,65.6,58,61,66,43,75
25,0,9,4,1,1,68.8,75,58,61,66,68
25,0,12,4,2,0,72.8,68,75,58,61,82
26,0,15,4,2,1,78,82,68,75,58,81
26,9,12,4,2,8,76.6,81,82,68,75,84
27,0,11,4,2,11,81,84,81,82,68,68
28,0,10,4,1,5,88.6,68,84,81,82,90
28,0,9,4,0,14,98.6,90,68,84,81,120
28,0,8,4,0,34,114.8,120,90,68,84,131
30,0,10,4,1,40,134.2,131,120,90,68,165
29,0,11,4,1,35,149.8,165,131,120,90,165
30,0,10,4,1,11,149.8,165,165,131,120,168
29,0,10,4,2,8,141.6,168,165,165,131,120
29,0,8,1,2,6,125,120,168,165,165,90
30,0,9,1,4,0,101,90,120,168,165,82
29,0,9,1,5,1,78.6,82,90,120,168,45
28,0,8,1,5,1,60.8,45,82,90,120,56
26,0.7,11,1,1,0,45,56,45,82,90,31
27,0,8,1,3,1,36.6,31,56,45,82,11
27,0,7,1,1,3,36,11,31,56,45,40
22,9.5,9,1,2,4,28.8,40,11,31,56,42
23,0.2,9,1,4,3,32.6,42,40,11,31,20
21,0.6,9,1,5,2,46,20,42,40,11,50
20,0.4,8,1,4,1,46.2,50,20,42,40,78
21,0,7,1,3,4,50.6,78,50,20,42,41
16,4.9,11,1,3,3,52,41,78,50,20,64
16,0,9,2,2,3,47.6,64,41,78,50,27
17,3.5,8,2,1,2,36,27,64,41,78,28
17,0.1,8,2,3,3,33.6,28,27,64,41,20
15,1.1,13,2,1,5,30.4,20,28,27,64,29
15,4,16,2,1,5,32.6,29,20,28,27,48
16,0.7,8,2,3,1,37.2,48,29,20,28,38
14,2.8,15,2,1,0,52.2,38,48,29,20,51
10,0,14,2,2,0,51.2,51,38,48,29,95
15,0,10,2,1,0,44,95,51,38,48,24
15,0,10,2,0,0,39.4,24,95,51,38,12
19,0.1,8,2,1,1,32.6,12,24,95,51,15
17,3.6,8,2,2,3,19.4,15,12,24,95,17
19,0,8,2,5,3,22.4,17,15,12,24,29
18,0,8,3,1,3,24.4,29,17,15,12,39
18,1.7,18,3,2,2,24.6,39,29,17,15,22
19,0.2,10,3,1,1,25.4,22,39,29,17,16
17,0,10,3,1,2,25.2,16,22,39,29,21
21,0,6,3,3,5,20.4,21,16,22,39,28
20,4,9,3,0,3,23.6,28,21,16,22,15
23,0,6,3,0,2,27.4,15,28,21,16,38
22,0,9,3,0,3,28.4,38,15,28,21,35
22,0.2,11,3,0,5,30.4,35,38,15,28,26
22,0,6,3,1,1,39.4,26,35,38,15,38
25,0,10,3,1,4,38.6,38,26,35,38,60
23,0.7,12,3,2,2,47.4,60,38,26,35,34
25,0,6,3,3,0,57.2,34,60,38,26,79
26,0,10,4,4,1,63.8,79,34,60,38,75
26,0,8,4,1,0,73,75,79,34,60,71
17,0.1,8,4,2,0,78.6,71,75,79,34,106
28,0,9,4,1,1,77.6,106,71,75,79,62
28,0,12,4,5,10,78.8,62,106,71,75,74
28,0,7,4,2,15,81.2,74,62,106,71,81
28,0,9,4,4,14,73.6,81,74,62,106,83
28,0,7,4,1,12,72.6,83,81,74,62,68
29,0,10,4,2,9,66.4,68,83,81,74,57

