AvgTemp,Season,lebanonEvents,trend,lag1,lag2,lag3,lag4,Demand
16,2,2,14.8,0,0,0,0,0
17,2,3,15,0,0,0,0,0
13,2,2,14.6,0,0,0,0,0
12,2,0,11.6,0,0,0,0,0
16,2,2,12.6,0,0,0,0,0
17,3,3,13.4,0,0,0,0,0
18,3,0,14.4,0,0,0,0,0
16,3,1,19.8,0,0,0,0,0
18,3,0,27.2,0,0,0,0,0
18,3,5,28.8,0,0,0,0,1
18,3,4,31.2,1,0,0,0,0
17,3,2,34.8,0,1,0,0,0
18,3,0,39.8,0,0,1,0,0
22,3,4,40,0,0,0,1,1
21,3,3,48,1,0,0,0,1
22,3,0,53,1,1,0,0,1
26,3,1,58.2,1,1,1,0,1
25,3,0,60.6,1,1,1,1,1
23,4,0,65.6,1,1,1,1,1
25,4,1,68.8,1,1,1,1,1
25,4,0,72.8,1,1,1,1,1
26,4,1,78,1,1,1,1,1
26,4,8,76.6,1,1,1,1,1
27,4,11,81,1,1,1,1,1
28,4,5,88.6,1,1,1,1,1
28,4,14,98.6,1,1,1,1,1
28,4,34,114.8,1,1,1,1,1
30,4,40,134.2,1,1,1,1,1
29,4,35,149.8,1,1,1,1,1
30,4,11,149.8,1,1,1,1,1
29,4,8,141.6,1,1,1,1,1
29,1,6,125,1,1,1,1,1
30,1,0,101,1,1,1,1,1
29,1,1,78.6,1,1,1,1,1
28,1,1,60.8,1,1,1,1,1
26,1,0,45,1,1,1,1,0
27,1,1,36.6,0,1,1,1,0
27,1,3,36,0,0,1,1,1
22,1,4,28.8,1,0,0,1,1
23,1,3,32.6,1,1,0,0,0
21,1,2,46,0,1,1,0,1
20,1,1,46.2,1,0,1,1,1
21,1,4,50.6,1,1,0,1,1
16,1,3,52,1,1,1,0,1
16,2,3,47.6,1,1,1,1,0
17,2,2,36,0,1,1,1,0
17,2,3,33.6,0,0,1,1,0
15,2,5,30.4,0,0,0,1,0
15,2,5,32.6,0,0,0,0,1
16,2,1,37.2,1,0,0,0,0
14,2,0,52.2,0,1,0,0,1
10,2,0,51.2,1,0,1,0,1
15,2,0,44,1,1,0,1,0
15,2,0,39.4,0,1,1,0,0
19,2,1,32.6,0,0,1,1,0
17,2,3,19.4,0,0,0,1,0
19,2,3,22.4,0,0,0,0,0
18,3,3,24.4,0,0,0,0,0
18,3,2,24.6,0,0,0,0,0
19,3,1,25.4,0,0,0,0,0
17,3,2,25.2,0,0,0,0,0
21,3,5,20.4,0,0,0,0,0
20,3,3,23.6,0,0,0,0,0
23,3,2,27.4,0,0,0,0,0
22,3,3,28.4,0,0,0,0,0
22,3,5,30.4,0,0,0,0,0
22,3,1,39.4,0,0,0,0,0
25,3,4,38.6,0,0,0,0,1
23,3,2,47.4,1,0,0,0,0
25,3,0,57.2,0,1,0,0,1
26,4,1,63.8,1,0,1,0,1
26,4,0,73,1,1,0,1,1
17,4,0,78.6,1,1,1,0,1
28,4,1,77.6,1,1,1,1,1
28,4,10,78.8,1,1,1,1,1
28,4,15,81.2,1,1,1,1,1
28,4,14,73.6,1,1,1,1,1
28,4,12,72.6,1,1,1,1,1
29,4,9,66.4,1,1,1,1,1
29,4,13,57,1,1,1,1,1
29,4,7,45.8,1,1,1,1,0
29,4,5,42.8,0,1,1,1,0
29,4,1,41.6,0,0,1,1,1
28,1,0,42.4,1,0,0,1,1
28,1,3,47.6,1,1,0,0,1
27,1,0,53.6,1,1,1,0,1
26,1,3,51.8,1,1,1,1,1
26,1,2,53.4,1,1,1,1,1
26,1,1,51,1,1,1,1,1
24,1,3,49.8,1,1,1,1,0
25,1,3,43.6,0,1,1,1,1
22,1,4,43,1,0,1,1,0
22,1,3,38.2,0,1,0,1,1
21,1,0,44,1,0,1,0,0
20,1,5,37.4,0,1,0,1,1
18,1,3,35.8,1,0,1,0,0
16,2,4,29.6,0,1,0,1,0
15,2,4,25.4,0,0,1,0,0
13,2,0,15.2,0,0,0,1,0
